Text,Actual_Bullying,Predicted_Bullying,Actual_Type,Predicted_Type
hahaha he aint even worth my tweets dumb fuck dont knw the diff between nigga amp nigger,Yes,Yes,ethnicity,ethnicity
rt sucks to have the smile wiped off your own face huh kat she in a glass house should not throw stones mkr mkr2015,Yes,Yes,gender,other_cyberbullying
just a reminder its absolutely disgusting to see the same people who would prank call me saying wasup nig throw food at my friends and i at lunch while making monkey noises and tweet nigger as if its a joke act as if they care about black lives please fuck off,Yes,Yes,ethnicity,ethnicity
rt when you accidentally open your front camera,Yes,No,other_cyberbullying,not_cyberbullying
loving the look of the fritters mkr,No,No,not_cyberbullying,not_cyberbullying
has 2 interesting events last year involving race a group of know nothing kids 1820 called out hes a whitenegro referring to my kid i called out dont worry honey just another racist maori funny thing here is that they werent really racist in a meaning full way 12,Yes,Yes,ethnicity,ethnicity
niggers is the real way you dumb fuck,Yes,Yes,ethnicity,ethnicity
things that arent jokes rape sexism racism suicide self harm mariah carey hate gay as an insult mental illness,Yes,No,gender,not_cyberbullying
you were bullied if so im sorry that happened to you it happened to me too in middle school then all of a sudden that thing that happens to girls happens i made sure in high school to befriend everyone and didnt care what people said about it,Yes,No,age,not_cyberbullying
haha did you watch big brother zankie was disgusting and literally a straight guy and gay guy playing it up also frankie made rape jokes and literally said being lesbian is a choice unlike being gay cuz hes a mysoginistic ass i am like,Yes,Yes,gender,other_cyberbullying
rt that a female referee not sexist but they are only for camps right this will not be happening in the regu,Yes,Yes,gender,gender
men when they think saying any slur making racist jokes retard gay any rape joke think they so tough also men when we say they are not funny,Yes,Yes,gender,gender
sorry i dont converse with people that talk to me while hashtagging hate groups kindly go fuck yourself,Yes,Yes,other_cyberbullying,other_cyberbullying
128514128514128514128514128514128514128514128514128514128514128514 teanna trump probably cleaner than most of these twitter hoes but,Yes,Yes,gender,gender
so you are saying any muslim scholar who say earth flat like a carpet is an idiot,Yes,Yes,religion,religion
i hear you on that when youre a teenager you dont want to be cooped up with a bunch of people that are judging you you want to be out enjoying your life i hated school and always skipped out on classes especially classes i knew had bullies i was that weird kid that 1,Yes,No,age,not_cyberbullying
long ago i asked some white gay men on our lunch break advice on where they thought the safest city for me to relocate and live would be they said to me west hollywood girlfriend no one wants to rape you there this is not a joke they meant it and it makes perfect sense,Yes,Yes,gender,other_cyberbullying
now if we can only get the world to recognize that islam declared war on humanity 1400 ago and outlaw it,Yes,Yes,religion,religion
wait what rt fuck obama dumb ass nigger wow youre a fucking disgusting human being holy shit,Yes,Yes,ethnicity,ethnicity
sorry im not humble dick,Yes,Yes,other_cyberbullying,other_cyberbullying
if i went to school with draco idc if he was the biggest bully i would still bully him,Yes,No,age,not_cyberbullying
thats idiotic not holding a sick terrorist god sacred is far from not holding anything sacred,Yes,Yes,religion,religion
deangelo why are you such a sorry sack of dumb fuck i hate you nigger,Yes,Yes,ethnicity,ethnicity
just a joke i thought gay rape was still cool around here,Yes,Yes,gender,gender
a lot of indie game devs remind me a lot of foss devs its all about that passion im drawn to passion kind of in love with all of them,Yes,No,other_cyberbullying,not_cyberbullying
the missus loves mkr if i have to watch five more minutes of these stuck up idiotic 2 bit hookers ill neck myself goingtobed,Yes,Yes,gender,gender
rt fuck you coonwe call ppl like u nigger with ur niggerish behaviour u dumb piece of cow dung fuck ur momma,Yes,Yes,ethnicity,ethnicity
hey give me your fucking money,Yes,Yes,other_cyberbullying,other_cyberbullying
would love to go but got to be at the hospital with the daughter,No,No,not_cyberbullying,not_cyberbullying
secular fake atheist come to give u lecture on human rights specially to hindus but when u will ask them to tell abt whats happening in syria iraq yemen somalia afghanistan they will not speak a single word on them on radical islamic terrorism,Yes,Yes,religion,religion
as a target of her delusions yeah im going to say these things about how she behaves towards me,No,Yes,not_cyberbullying,other_cyberbullying
rt mr abu bakr albaghdadi gallops away from gwer letting others die for him coward khilafah dawla dawlah raqqa,No,Yes,not_cyberbullying,religion
blameonenotall is not because i want to be congratulated by not being a rapist its because i dont wanna be categorized with stupid men,Yes,Yes,gender,gender
i read the quran bimbo follower its a violent barbaric murdering sexist stupid genocidal pile of steaming shit,Yes,Yes,gender,religion
they kill him,No,No,not_cyberbullying,not_cyberbullying
shut the fuck up niggerdumb hoes these days smh,Yes,Yes,ethnicity,ethnicity
so what if i give you 2 dollars eveyday in fear that youll beat me up if i dont its not like im getting bullied or anything scoffs,Yes,Yes,other_cyberbullying,other_cyberbullying
rt were off to a special location for this announcement its a warehouse with drapes and a stage it screams specialm,No,No,not_cyberbullying,not_cyberbullying
just like back in school if you let the bullies bully you they will continue to do so,Yes,No,age,not_cyberbullying
tw rape ray badrans joke was gay ppl can make jokes about being gay black ppl can make jokes about being black i can make jokes about rape,Yes,Yes,gender,other_cyberbullying
does it matter,Yes,No,other_cyberbullying,not_cyberbullying
is bullying me on bbm,Yes,Yes,other_cyberbullying,other_cyberbullying
lmao aww yh thats true rach e does bt im always bullying him so i fort id start bein nice ha,Yes,No,other_cyberbullying,not_cyberbullying
vou sofrer bullying,No,No,not_cyberbullying,not_cyberbullying
sometimes i wonder if the girls who bullied me in middlehigh school would still have bullied me in college the answer is probably yes,Yes,No,age,not_cyberbullying
iron brotherare you an idiots calling chinese your brothereven after knowing there facts what are they doing to there muslim minority,Yes,Yes,religion,ethnicity
anytime i watch this show i move figure out how to hire an intern higher up my list of shit to get done,Yes,No,other_cyberbullying,not_cyberbullying
not again rt fuck obama dumb ass nigger,Yes,Yes,ethnicity,ethnicity
to bad we beat your ass in 2007 giantspride,Yes,Yes,other_cyberbullying,other_cyberbullying
i see a lot of jokes fan fics and fan art i find objectionable from depictions of rape to erasure of gay characters it fucking sucks yes but the accurate response when this is not part of a larger media effect is to unfollow or block the creator and move on,Yes,No,gender,not_cyberbullying
why is it so difficult for people of different castes to intermarry as far as i know a girl with a low caste needs to spend a lot of money to marry a man with a high caste otherwise she will be easily bullied by men what is the caste of your wife,Yes,Yes,age,ethnicity
i would hate if some of the girls i bullied in high school did this to me anything but this,Yes,Yes,age,other_cyberbullying
rt these seems extremely unlikely 16 of the entire female population are rape victims,Yes,No,gender,not_cyberbullying
14 saw freealecmckinney after seeing some extremely brutal and even deadly school bully beatings theres a difference between carrying a gun and shooting a person in self defense for physically assaulting you and bringing a gun to school just to go and,Yes,No,age,not_cyberbullying
